"GOOD HEALTH MEDICAL                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        QUAZI BAGH MARKET,NEAR RAM MANDIR GOLA BAZAR SHERGHATI GAYA-824211",,,,,,,,,,,,,,,
STOCK REPORT AS ON DATE 23-07-2026,,,,,,,,,,,,,,,
Code,Product Name,Unit,Current Stock,Sales Scheme,,Purc.Scheme,,Cost Price,Value,M.R.P.,Purchase Price,Sales Price,Company,Manufacturer,Rack No.
,,,,Deal,Free,Deal,Free,,,,,,,,
ZZZ9586,AMLODAC 2.5MG TAB 1*30TAB,TABS,5,0,0,0,0,42.654,213.27,57.33,43.68,0,ZYDAUS CARDIVA,,A004
ZZZ9825,AMLODAC 5MG TAB 1*30TAB,TABS,5,0,0,0,0,59.526,297.63,80.01,60.96,0,CADILA,,A004
CADAMA101,AMLODAC AT TAB 1*10TAB,TAB,6,0,0,0,0,198.842,1193.05,264.41,201.46,0,CADILA,,A004
ZZZ7983,AMLODAC M 25 TAB 1*15TAB,TABS,3,0,0,0,0,100.698,302.09,135.35,103.12,0,ZYDUS HEALTHCARE,,A004
ZZZ6812,AMLOGARD 10MG TAB 1*30,TAB,2,0,0,0,0,141.495,282.99,172.78,141.85,0,PFIZER LIMITED,,A007
ZZZ4023,AMLOGARD 2.5MG TAB 1*30,TAB,3,0,0,0,0,46.764,140.29,57.1,46.88,0,PFIZER LIMITED,,A007
PFIAM5102,AMLOGARD 5MG TAB 1*30TAB,TAB,7,0,0,0,0,65.526,458.68,80.01,65.69,0,PFIZER LIMITED,,A007
ZZZ10737,AMLOKIND-10 TAB 1*10,TAB.,12,0,0,0,0,25.448,305.38,34.2,26.06,0,MANKIND,,A005
ZZZ11405,AMLOKIND 5MG TAB 1*15TAB 1*15,TAB.,10,0,0,0,0,17.606,176.06,23.67,18.03,0,CIPLA,,A005
ZZZ8527,AMLOKIND AT TAB 1*15,TAB.,23,0,0,11,1,41.721,959.58,61.18,46.61,0,MANKIND,,A005
ZZZ10997,AMLOKIND BETA 50 TAB 1*10 TAB,TAB.,3,0,0,0,0,81.253,243.76,106.92,81.46,0,MANKIND,,A005
ZZZ10739,AMLOKIND-H TAB 1*10,TAB.,3,0,0,0,0,32.838,98.51,43.67,33.27,0,MANKIND,,A005
ZZZ10738,AMLOKIND-L TAB 1*10,TAB.,5,0,0,0,0,58.648,293.24,78.83,60.06,0,MANKIND,,A005
MICAM1103,AMLONG 10MG TAB 1*15TAB,TAB,4,0,0,0,0,64.9185,259.67,87.25,66.48,0,MICRO LAB,,A006
ZZZ10883,AMLONG 5MG 1*30,TAB.,3,0,0,0,0,59.528,178.58,80.01,60.96,0,MANKIND,,A006
MICAMA201,AMLONG A 25. 10 10,Pcs,2,0,0,0,0,47.385,94.77,62.34,47.5,0,MICRO LAB,,A006
MICAMA101,AMLONG A TAB 1*15TAB,TAB,2,0,0,0,0,121.3785,242.76,163.1,124.3,0,MICRO LAB,,A006
MICAM1T01,AMLONG H TAB 1*15,TAB,2,0,0,0,0,95.53,191.06,128.44,97.83,0,MICRO LAB,,A006
USVAMM101,AMLOPIN AT TAB 1*10TAB,TAB,5,0,0,0,0,72.9,364.5,96.94,73.86,0,USV,,A012
CIPAMA101,AMLOPRES-AT TAB 1*15,TAB,3,0,0,0,0,132.7695,398.31,185.39,141.25,0,CIPLA,,A016
ZZZ9791,AMLOPRES TL TAB 1*15TAB,TABS,2,0,0,0,0,114.432,228.86,152.17,115.94,0,CIPLA,,A016
ARIAM1101,AMLOSAFE 10MG TAB 1*10TAB,TAB,2,0,0,0,0,43.268,86.54,58.16,44.31,0,ARISTO,,A016
ZZZ11175,AMLOSAFE 2.5MG TAB 1*10TAB 1*15,TAB.,17,0,0,0,0,21.318,362.41,28.65,21.83,0,CIPLA,,A016
OTSAM3701,AMLOSAFE 3D TAB 1*7,TAB,5,0,0,0,0,61.1961,305.98,81.37,62,0,OTSIRA GENETICA(ARISTO),,A016
ZZZ11176,AMLOSAFE 5MG TAB 1*10TAB,TAB.,8,0,0,0,0,29.764,238.11,40,30.48,0,CIPLA,,A016
ARIAMM101,AMLOSAFE AT TAB 1*15,TAB,0.5,0,0,0,0,64.126,32.06,126.56,96.43,0,OTSIRA GENETICA(ARISTO),,A016
000420,AMLOSAFE AT TAB 1*15TAB,TAB,6,0,0,0,0,94.153,564.92,126.56,96.42,0,ARISTO,,A016
